query_id,subject_id,per_identity,alignment_length,mismatches,gap_opens,q_start,q_end,s._start,s._end,evalue,bit_score,sequence
AZA18259.1,AZA18259.1,100.000,348,0,0,1,348,1,348,0.0,708,100.00
AZA18259.1,WP_084828638.1,94.540,348,19,0,1,348,1,348,0.0,681,99.14
AZA18259.1,WP_111679482.1,91.379,348,30,0,1,348,1,348,0.0,662,97.70
AZA18259.1,WP_155214194.1,76.012,346,83,0,1,346,1,346,0.0,551,86.42
AZA18259.1,WP_155214166.1,75.434,346,85,0,1,346,1,346,0.0,548,86.42
AZA18259.1,WP_027974641.1,60.641,343,135,0,1,343,1,343,8.90e-150,435,77.55
AZA18259.1,WP_105121756.1,60.172,349,137,2,1,348,1,348,1.23e-147,429,76.79
AZA18259.1,WP_044672843.1,59.885,349,138,2,1,348,1,348,6.27e-147,427,76.22
AZA18259.1,WP_102169758.1,57.225,346,148,0,1,346,1,346,8.20e-147,427,78.03
AZA18259.1,WP_074658880.1,59.026,349,141,2,1,348,1,348,1.32e-145,424,76.50
AZA18259.1,WP_115129851.1,58.960,346,142,0,1,346,1,346,6.97e-145,422,75.14


